类型,标题
学术活动,河南省细胞生物学学会2023年度学术年会在我校召开
学术活动,出版社召开2024年度选题论证会
学术活动,河南省教育学会比较教育专业委员会第五届会员代表大会在我校举办
学术活动,黄河流域生态保护和高质量发展高层论坛（2023）在我校举办
校园人事活动与领导调研,季波到物理与电子学院调研指导工作
学术活动,首届河南省高校企业竞争模拟大赛在我校举行
学术活动,我校获评“河南省首批新时代依法治校示范校”
学术活动,“党的好儿女”中国红色经典民族歌剧片段河南高校巡演在我校举办
学术活动,我校召开本科教育教学审核评估工作报告会
学术活动,我校获批国家社科基金冷门绝学及教育部中华优秀传统文化专项重大课题
学术活动,河南大学2023年“棉花发育与逆境调控”学术研讨会召开
校园管理与活动,我校获得省教科文卫体工会系统示范性劳模和工匠人才创新工作室、优秀工匠人才、“师带徒”标兵等多项荣誉
校园管理与活动,华为ICT人才联盟双选会河南站暨校企对接座谈会在我校举办
校园管理与活动,我校召开2024年度征兵工作会
校园管理与活动,我校举行“雪莉杯”英语口译大赛
校园管理与活动,我校举办2023年河南大学大学生职业规划大赛决赛
校园管理与活动,我校召开防范应对低温雨雪冰冻灾害工作会
校园管理与活动,我校举办2023第十届中国产业经济研究学术年会
校园管理与活动,我校在第二届全省高校统战工作创新典型案例评选中喜获佳绩
校园管理与活动,我校召开目标管理工作推进座谈会
校园管理与活动,我校与美国伊利诺伊理工大学举行视频会议
校园管理与活动,第五届中国高等院校动画高峰论坛在我校举办 
校园人事活动与领导调研,季波到教育学部调研
校园人事活动与领导调研,崔大祥到基础医学院调研指导工作
校园人事活动与领导调研,河南省科协党组书记王新会一行来校调研
校园人事活动与领导调研,乔梁到郑州龙子湖校区在建工地检查安全生产工作
校园人事活动与领导调研,我校召开中国史学科中期建设推进会
社会服务与合作,中原发展研究院联合举办河南省数字经济产教融合共同体成立大会
社会服务与合作,我校举办2023第十届中国产业经济研究学术年会
社会服务与合作,我校与美国伊利诺伊理工大学举行视频会议
学术活动,张锁江为河南省“万名中小学校长培训计划”第三期全体学员作专题讲座并主持召开学员代表座谈会
学术活动,省教育厅“大听课、大调研”第一调研组深入河南大学开展听课调研活动
学术活动,我校召开河南大学文科高质量发展“三大计划”启动会
